name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;272;400;3000;100000
random_low_coverage_on_both_sides_test_small;281;400;3000;100000
random_with_hole_test_small;310;400;3000;100000
random_zero_coverage_on_both_sides_test_small;244;400;3000;100000
random_uniform_dist_test_medium;4530;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;5980;2000;15000;500000
random_with_hole_test_medium;4367;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4273;2000;15000;500000
random_uniform_dist_test_large;28735;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;20148;4000;30000;1000000
random_with_hole_test_large;16616;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;12715;4000;30000;1000000
m_1000_real;34848;1000;29903;2253780
m_2000_real;35376;1000;29903;2253780
m_3000_real;36170;1000;29903;2253780
random_uniform_dist_test_small;272;400;3000;100000
random_low_coverage_on_both_sides_test_small;281;400;3000;100000
random_with_hole_test_small;314;400;3000;100000
random_zero_coverage_on_both_sides_test_small;242;400;3000;100000
random_uniform_dist_test_medium;4593;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;6054;2000;15000;500000
random_with_hole_test_medium;4432;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4213;2000;15000;500000
random_uniform_dist_test_large;28855;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;19911;4000;30000;1000000
random_with_hole_test_large;16496;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;12723;4000;30000;1000000
m_1000_real;33144;1000;29903;2253780
m_2000_real;33208;1000;29903;2253780
m_3000_real;33102;1000;29903;2253780
random_uniform_dist_test_small;273;400;3000;100000
random_low_coverage_on_both_sides_test_small;281;400;3000;100000
random_with_hole_test_small;310;400;3000;100000
random_zero_coverage_on_both_sides_test_small;244;400;3000;100000
random_uniform_dist_test_medium;4526;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;6016;2000;15000;500000
random_with_hole_test_medium;4529;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4113;2000;15000;500000
random_uniform_dist_test_large;28855;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;19757;4000;30000;1000000
random_with_hole_test_large;16216;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;12526;4000;30000;1000000
m_1000_real;33165;1000;29903;2253780
m_2000_real;32917;1000;29903;2253780
m_3000_real;33038;1000;29903;2253780
random_uniform_dist_test_small;278;400;3000;100000
random_low_coverage_on_both_sides_test_small;279;400;3000;100000
random_with_hole_test_small;310;400;3000;100000
random_zero_coverage_on_both_sides_test_small;248;400;3000;100000
random_uniform_dist_test_medium;4518;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;6002;2000;15000;500000
random_with_hole_test_medium;4378;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4080;2000;15000;500000
random_uniform_dist_test_large;29008;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;19727;4000;30000;1000000
random_with_hole_test_large;16265;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;12960;4000;30000;1000000
m_1000_real;33381;1000;29903;2253780
m_2000_real;32997;1000;29903;2253780
m_3000_real;32994;1000;29903;2253780
random_uniform_dist_test_small;274;400;3000;100000
random_low_coverage_on_both_sides_test_small;287;400;3000;100000
random_with_hole_test_small;311;400;3000;100000
random_zero_coverage_on_both_sides_test_small;244;400;3000;100000
random_uniform_dist_test_medium;4693;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;5980;2000;15000;500000
random_with_hole_test_medium;4365;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4164;2000;15000;500000
random_uniform_dist_test_large;29506;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;19647;4000;30000;1000000
random_with_hole_test_large;16384;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;12681;4000;30000;1000000
m_1000_real;34055;1000;29903;2253780
m_2000_real;32948;1000;29903;2253780
m_3000_real;33400;1000;29903;2253780
