name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;874;400;3000;100000
random_low_coverage_on_both_sides_test_small;758;400;3000;100000
random_with_hole_test_small;969;400;3000;100000
random_zero_coverage_on_both_sides_test_small;643;400;3000;100000
random_uniform_dist_test_medium;17925;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;30766;2000;15000;500000
random_with_hole_test_medium;14191;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;23835;2000;15000;500000
random_uniform_dist_test_large;43424;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;45444;4000;30000;1000000
random_with_hole_test_large;34085;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;103565;4000;30000;1000000
m_1000_real;66359;1000;29903;2253780
m_2000_real;66524;1000;29903;2253780
m_3000_real;65551;1000;29903;2253780
random_uniform_dist_test_small;779;400;3000;100000
random_low_coverage_on_both_sides_test_small;699;400;3000;100000
random_with_hole_test_small;933;400;3000;100000
random_zero_coverage_on_both_sides_test_small;624;400;3000;100000
random_uniform_dist_test_medium;16894;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;29403;2000;15000;500000
random_with_hole_test_medium;13999;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;23253;2000;15000;500000
random_uniform_dist_test_large;42889;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;46271;4000;30000;1000000
random_with_hole_test_large;34259;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;104887;4000;30000;1000000
m_1000_real;65761;1000;29903;2253780
m_2000_real;67440;1000;29903;2253780
m_3000_real;66864;1000;29903;2253780
random_uniform_dist_test_small;785;400;3000;100000
random_low_coverage_on_both_sides_test_small;701;400;3000;100000
random_with_hole_test_small;938;400;3000;100000
random_zero_coverage_on_both_sides_test_small;641;400;3000;100000
random_uniform_dist_test_medium;16906;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;29221;2000;15000;500000
random_with_hole_test_medium;14057;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;23310;2000;15000;500000
random_uniform_dist_test_large;42866;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;45747;4000;30000;1000000
random_with_hole_test_large;34307;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;104415;4000;30000;1000000
m_1000_real;65416;1000;29903;2253780
m_2000_real;69210;1000;29903;2253780
m_3000_real;66476;1000;29903;2253780
random_uniform_dist_test_small;784;400;3000;100000
random_low_coverage_on_both_sides_test_small;704;400;3000;100000
random_with_hole_test_small;939;400;3000;100000
random_zero_coverage_on_both_sides_test_small;625;400;3000;100000
random_uniform_dist_test_medium;17071;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;29496;2000;15000;500000
random_with_hole_test_medium;14189;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;23304;2000;15000;500000
random_uniform_dist_test_large;42795;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;46400;4000;30000;1000000
random_with_hole_test_large;34255;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;104244;4000;30000;1000000
m_1000_real;65256;1000;29903;2253780
m_2000_real;65278;1000;29903;2253780
m_3000_real;65371;1000;29903;2253780
random_uniform_dist_test_small;787;400;3000;100000
random_low_coverage_on_both_sides_test_small;704;400;3000;100000
random_with_hole_test_small;941;400;3000;100000
random_zero_coverage_on_both_sides_test_small;626;400;3000;100000
random_uniform_dist_test_medium;16969;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;29348;2000;15000;500000
random_with_hole_test_medium;14194;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;23733;2000;15000;500000
random_uniform_dist_test_large;43461;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;46281;4000;30000;1000000
random_with_hole_test_large;34291;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;104423;4000;30000;1000000
m_1000_real;67184;1000;29903;2253780
m_2000_real;65726;1000;29903;2253780
m_3000_real;66218;1000;29903;2253780
