name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;15;400;3000;100000
random_low_coverage_on_both_sides_test_small;20;400;3000;100000
random_with_hole_test_small;14;400;3000;100000
random_zero_coverage_on_both_sides_test_small;18;400;3000;100000
random_uniform_dist_test_medium;110;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;219;2000;15000;500000
random_with_hole_test_medium;100;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;158;2000;15000;500000
random_uniform_dist_test_large;390;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;500;4000;30000;1000000
random_with_hole_test_large;384;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;367;4000;30000;1000000
m_1000_real;4922;1000;29903;2253780
m_2000_real;4993;1000;29903;2253780
m_3000_real;5031;1000;29903;2253780
random_uniform_dist_test_small;15;400;3000;100000
random_low_coverage_on_both_sides_test_small;21;400;3000;100000
random_with_hole_test_small;15;400;3000;100000
random_zero_coverage_on_both_sides_test_small;19;400;3000;100000
random_uniform_dist_test_medium;116;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;219;2000;15000;500000
random_with_hole_test_medium;102;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;160;2000;15000;500000
random_uniform_dist_test_large;410;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;542;4000;30000;1000000
random_with_hole_test_large;404;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;390;4000;30000;1000000
m_1000_real;5055;1000;29903;2253780
m_2000_real;4943;1000;29903;2253780
m_3000_real;5019;1000;29903;2253780
random_uniform_dist_test_small;15;400;3000;100000
random_low_coverage_on_both_sides_test_small;20;400;3000;100000
random_with_hole_test_small;14;400;3000;100000
random_zero_coverage_on_both_sides_test_small;18;400;3000;100000
random_uniform_dist_test_medium;110;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;219;2000;15000;500000
random_with_hole_test_medium;101;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;158;2000;15000;500000
random_uniform_dist_test_large;407;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;528;4000;30000;1000000
random_with_hole_test_large;401;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;387;4000;30000;1000000
m_1000_real;5030;1000;29903;2253780
m_2000_real;4949;1000;29903;2253780
m_3000_real;4966;1000;29903;2253780
random_uniform_dist_test_small;15;400;3000;100000
random_low_coverage_on_both_sides_test_small;21;400;3000;100000
random_with_hole_test_small;15;400;3000;100000
random_zero_coverage_on_both_sides_test_small;18;400;3000;100000
random_uniform_dist_test_medium;110;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;223;2000;15000;500000
random_with_hole_test_medium;101;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;159;2000;15000;500000
random_uniform_dist_test_large;405;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;506;4000;30000;1000000
random_with_hole_test_large;396;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;369;4000;30000;1000000
m_1000_real;4973;1000;29903;2253780
m_2000_real;4965;1000;29903;2253780
m_3000_real;4932;1000;29903;2253780
random_uniform_dist_test_small;15;400;3000;100000
random_low_coverage_on_both_sides_test_small;20;400;3000;100000
random_with_hole_test_small;14;400;3000;100000
random_zero_coverage_on_both_sides_test_small;18;400;3000;100000
random_uniform_dist_test_medium;113;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;236;2000;15000;500000
random_with_hole_test_medium;121;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;182;2000;15000;500000
random_uniform_dist_test_large;396;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;503;4000;30000;1000000
random_with_hole_test_large;388;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;367;4000;30000;1000000
m_1000_real;5153;1000;29903;2253780
m_2000_real;4989;1000;29903;2253780
m_3000_real;5133;1000;29903;2253780
