name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;122;400;3000;100000
random_low_coverage_on_both_sides_test_small;781;400;3000;100000
random_with_hole_test_small;433;400;3000;100000
random_zero_coverage_on_both_sides_test_small;362;400;3000;100000
random_uniform_dist_test_medium;848;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;3338;2000;15000;500000
random_with_hole_test_medium;1335;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;1637;2000;15000;500000
random_uniform_dist_test_large;2250;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;14414;4000;30000;1000000
random_with_hole_test_large;5603;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;6528;4000;30000;1000000
m_1000_real;199644;1000;29903;2253780
m_2000_real;267721;1000;29903;2253780
m_3000_real;216230;1000;29903;2253780
random_uniform_dist_test_small;121;400;3000;100000
random_low_coverage_on_both_sides_test_small;711;400;3000;100000
random_with_hole_test_small;474;400;3000;100000
random_zero_coverage_on_both_sides_test_small;358;400;3000;100000
random_uniform_dist_test_medium;845;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;1862;2000;15000;500000
random_with_hole_test_medium;1377;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;1920;2000;15000;500000
random_uniform_dist_test_large;2155;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;11045;4000;30000;1000000
random_with_hole_test_large;8311;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;5358;4000;30000;1000000
m_1000_real;208419;1000;29903;2253780
m_2000_real;223247;1000;29903;2253780
m_3000_real;202169;1000;29903;2253780
random_uniform_dist_test_small;117;400;3000;100000
random_low_coverage_on_both_sides_test_small;796;400;3000;100000
random_with_hole_test_small;428;400;3000;100000
random_zero_coverage_on_both_sides_test_small;393;400;3000;100000
random_uniform_dist_test_medium;756;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;1648;2000;15000;500000
random_with_hole_test_medium;1278;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;2003;2000;15000;500000
random_uniform_dist_test_large;2108;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;11228;4000;30000;1000000
random_with_hole_test_large;7372;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;2596;4000;30000;1000000
m_1000_real;222965;1000;29903;2253780
m_2000_real;249270;1000;29903;2253780
m_3000_real;253403;1000;29903;2253780
random_uniform_dist_test_small;116;400;3000;100000
random_low_coverage_on_both_sides_test_small;788;400;3000;100000
random_with_hole_test_small;406;400;3000;100000
random_zero_coverage_on_both_sides_test_small;383;400;3000;100000
random_uniform_dist_test_medium;846;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;1502;2000;15000;500000
random_with_hole_test_medium;1520;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;2138;2000;15000;500000
random_uniform_dist_test_large;2016;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;15619;4000;30000;1000000
random_with_hole_test_large;7223;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;8303;4000;30000;1000000
m_1000_real;209906;1000;29903;2253780
m_2000_real;242495;1000;29903;2253780
m_3000_real;215563;1000;29903;2253780
random_uniform_dist_test_small;123;400;3000;100000
random_low_coverage_on_both_sides_test_small;704;400;3000;100000
random_with_hole_test_small;407;400;3000;100000
random_zero_coverage_on_both_sides_test_small;426;400;3000;100000
random_uniform_dist_test_medium;739;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;1024;2000;15000;500000
random_with_hole_test_medium;1477;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;1821;2000;15000;500000
random_uniform_dist_test_large;1994;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;14357;4000;30000;1000000
random_with_hole_test_large;11474;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;3203;4000;30000;1000000
m_1000_real;193711;1000;29903;2253780
m_2000_real;228837;1000;29903;2253780
m_3000_real;244488;1000;29903;2253780
