name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;274;400;3000;100000
random_low_coverage_on_both_sides_test_small;282;400;3000;100000
random_with_hole_test_small;313;400;3000;100000
random_zero_coverage_on_both_sides_test_small;245;400;3000;100000
random_uniform_dist_test_medium;4523;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;6089;2000;15000;500000
random_with_hole_test_medium;4576;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4401;2000;15000;500000
random_uniform_dist_test_large;29867;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;20839;4000;30000;1000000
random_with_hole_test_large;16859;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;12741;4000;30000;1000000
random_uniform_dist_test_small;272;400;3000;100000
random_low_coverage_on_both_sides_test_small;281;400;3000;100000
random_with_hole_test_small;309;400;3000;100000
random_zero_coverage_on_both_sides_test_small;243;400;3000;100000
random_uniform_dist_test_medium;4487;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;6032;2000;15000;500000
random_with_hole_test_medium;4460;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4274;2000;15000;500000
random_uniform_dist_test_large;30022;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;20395;4000;30000;1000000
random_with_hole_test_large;17204;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;13020;4000;30000;1000000
random_uniform_dist_test_small;285;400;3000;100000
random_low_coverage_on_both_sides_test_small;287;400;3000;100000
random_with_hole_test_small;317;400;3000;100000
random_zero_coverage_on_both_sides_test_small;256;400;3000;100000
random_uniform_dist_test_medium;4659;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;6193;2000;15000;500000
random_with_hole_test_medium;4759;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4417;2000;15000;500000
random_uniform_dist_test_large;29698;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;19801;4000;30000;1000000
random_with_hole_test_large;16404;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;12607;4000;30000;1000000
