name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;895;400;3000;100000
random_low_coverage_on_both_sides_test_small;736;400;3000;100000
random_with_hole_test_small;1018;400;3000;100000
random_zero_coverage_on_both_sides_test_small;670;400;3000;100000
random_uniform_dist_test_medium;17776;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;29291;2000;15000;500000
random_with_hole_test_medium;14577;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;25340;2000;15000;500000
random_uniform_dist_test_large;44379;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;47888;4000;30000;1000000
random_with_hole_test_large;34646;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;104736;4000;30000;1000000
random_uniform_dist_test_small;827;400;3000;100000
random_low_coverage_on_both_sides_test_small;720;400;3000;100000
random_with_hole_test_small;962;400;3000;100000
random_zero_coverage_on_both_sides_test_small;640;400;3000;100000
random_uniform_dist_test_medium;17532;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;30055;2000;15000;500000
random_with_hole_test_medium;14466;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;24472;2000;15000;500000
random_uniform_dist_test_large;44594;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;46335;4000;30000;1000000
random_with_hole_test_large;34979;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;107204;4000;30000;1000000
random_uniform_dist_test_small;795;400;3000;100000
random_low_coverage_on_both_sides_test_small;706;400;3000;100000
random_with_hole_test_small;942;400;3000;100000
random_zero_coverage_on_both_sides_test_small;629;400;3000;100000
random_uniform_dist_test_medium;17078;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;29483;2000;15000;500000
random_with_hole_test_medium;14345;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;24390;2000;15000;500000
random_uniform_dist_test_large;43747;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;46634;4000;30000;1000000
random_with_hole_test_large;35011;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;105830;4000;30000;1000000
