name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;17;400;3000;100000
random_low_coverage_on_both_sides_test_small;20;400;3000;100000
random_with_hole_test_small;14;400;3000;100000
random_zero_coverage_on_both_sides_test_small;18;400;3000;100000
random_uniform_dist_test_medium;120;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;231;2000;15000;500000
random_with_hole_test_medium;102;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;159;2000;15000;500000
random_uniform_dist_test_large;432;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;534;4000;30000;1000000
random_with_hole_test_large;428;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;399;4000;30000;1000000
random_uniform_dist_test_small;18;400;3000;100000
random_low_coverage_on_both_sides_test_small;21;400;3000;100000
random_with_hole_test_small;14;400;3000;100000
random_zero_coverage_on_both_sides_test_small;18;400;3000;100000
random_uniform_dist_test_medium;120;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;227;2000;15000;500000
random_with_hole_test_medium;102;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;158;2000;15000;500000
random_uniform_dist_test_large;422;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;529;4000;30000;1000000
random_with_hole_test_large;412;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;399;4000;30000;1000000
random_uniform_dist_test_small;18;400;3000;100000
random_low_coverage_on_both_sides_test_small;20;400;3000;100000
random_with_hole_test_small;14;400;3000;100000
random_zero_coverage_on_both_sides_test_small;18;400;3000;100000
random_uniform_dist_test_medium;120;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;222;2000;15000;500000
random_with_hole_test_medium;101;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;160;2000;15000;500000
random_uniform_dist_test_large;418;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;522;4000;30000;1000000
random_with_hole_test_large;408;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;395;4000;30000;1000000
