name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;119;400;3000;100000
random_low_coverage_on_both_sides_test_small;709;400;3000;100000
random_with_hole_test_small;454;400;3000;100000
random_zero_coverage_on_both_sides_test_small;413;400;3000;100000
random_uniform_dist_test_medium;797;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;2944;2000;15000;500000
random_with_hole_test_medium;1427;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;1864;2000;15000;500000
random_uniform_dist_test_large;1911;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;18223;4000;30000;1000000
random_with_hole_test_large;9465;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;3053;4000;30000;1000000
random_uniform_dist_test_small;111;400;3000;100000
random_low_coverage_on_both_sides_test_small;1044;400;3000;100000
random_with_hole_test_small;436;400;3000;100000
random_zero_coverage_on_both_sides_test_small;384;400;3000;100000
random_uniform_dist_test_medium;779;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;1047;2000;15000;500000
random_with_hole_test_medium;1318;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;2112;2000;15000;500000
random_uniform_dist_test_large;2192;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;18043;4000;30000;1000000
random_with_hole_test_large;10555;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;3626;4000;30000;1000000
random_uniform_dist_test_small;114;400;3000;100000
random_low_coverage_on_both_sides_test_small;805;400;3000;100000
random_with_hole_test_small;465;400;3000;100000
random_zero_coverage_on_both_sides_test_small;382;400;3000;100000
random_uniform_dist_test_medium;779;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;3344;2000;15000;500000
random_with_hole_test_medium;1490;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;1515;2000;15000;500000
random_uniform_dist_test_large;2206;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;9488;4000;30000;1000000
random_with_hole_test_large;9042;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;5067;4000;30000;1000000
