name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;422;400;3000;100000
random_low_coverage_on_both_sides_test_small;432;400;3000;100000
random_with_hole_test_small;475;400;3000;100000
random_zero_coverage_on_both_sides_test_small;392;400;3000;100000
random_uniform_dist_test_medium;5636;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;7348;2000;15000;500000
random_with_hole_test_medium;5506;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;5501;2000;15000;500000
random_uniform_dist_test_large;34195;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;23743;4000;30000;1000000
random_with_hole_test_large;19518;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;16014;4000;30000;1000000
random_uniform_dist_test_small;422;400;3000;100000
random_low_coverage_on_both_sides_test_small;428;400;3000;100000
random_with_hole_test_small;478;400;3000;100000
random_zero_coverage_on_both_sides_test_small;391;400;3000;100000
random_uniform_dist_test_medium;5622;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;7335;2000;15000;500000
random_with_hole_test_medium;5488;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;5419;2000;15000;500000
random_uniform_dist_test_large;34390;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;23776;4000;30000;1000000
random_with_hole_test_large;19467;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;15974;4000;30000;1000000
random_uniform_dist_test_small;423;400;3000;100000
random_low_coverage_on_both_sides_test_small;429;400;3000;100000
random_with_hole_test_small;478;400;3000;100000
random_zero_coverage_on_both_sides_test_small;391;400;3000;100000
random_uniform_dist_test_medium;5676;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;7375;2000;15000;500000
random_with_hole_test_medium;5516;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;5444;2000;15000;500000
random_uniform_dist_test_large;34194;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;23779;4000;30000;1000000
random_with_hole_test_large;20211;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;16048;4000;30000;1000000
