name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;1044;400;3000;100000
random_low_coverage_on_both_sides_test_small;945;400;3000;100000
random_with_hole_test_small;1231;400;3000;100000
random_zero_coverage_on_both_sides_test_small;903;400;3000;100000
random_uniform_dist_test_medium;18353;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;31817;2000;15000;500000
random_with_hole_test_medium;15246;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;26772;2000;15000;500000
random_uniform_dist_test_large;45268;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;49648;4000;30000;1000000
random_with_hole_test_large;36635;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;115863;4000;30000;1000000
random_uniform_dist_test_small;1044;400;3000;100000
random_low_coverage_on_both_sides_test_small;933;400;3000;100000
random_with_hole_test_small;1229;400;3000;100000
random_zero_coverage_on_both_sides_test_small;909;400;3000;100000
random_uniform_dist_test_medium;18429;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;31852;2000;15000;500000
random_with_hole_test_medium;15257;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;26774;2000;15000;500000
random_uniform_dist_test_large;45290;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;49499;4000;30000;1000000
random_with_hole_test_large;36619;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;115693;4000;30000;1000000
random_uniform_dist_test_small;1101;400;3000;100000
random_low_coverage_on_both_sides_test_small;940;400;3000;100000
random_with_hole_test_small;1244;400;3000;100000
random_zero_coverage_on_both_sides_test_small;912;400;3000;100000
random_uniform_dist_test_medium;18794;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;31876;2000;15000;500000
random_with_hole_test_medium;15222;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;26872;2000;15000;500000
random_uniform_dist_test_large;46782;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;50432;4000;30000;1000000
random_with_hole_test_large;38232;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;119313;4000;30000;1000000
