name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;284;400;3000;100000
random_low_coverage_on_both_sides_test_small;766;400;3000;100000
random_with_hole_test_small;413;400;3000;100000
random_zero_coverage_on_both_sides_test_small;407;400;3000;100000
random_uniform_dist_test_medium;1316;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;2113;2000;15000;500000
random_with_hole_test_medium;2282;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;2155;2000;15000;500000
random_uniform_dist_test_large;3350;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;13900;4000;30000;1000000
random_with_hole_test_large;7159;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;5026;4000;30000;1000000
random_uniform_dist_test_small;230;400;3000;100000
random_low_coverage_on_both_sides_test_small;713;400;3000;100000
random_with_hole_test_small;423;400;3000;100000
random_zero_coverage_on_both_sides_test_small;387;400;3000;100000
random_uniform_dist_test_medium;1301;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;1814;2000;15000;500000
random_with_hole_test_medium;2209;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;2142;2000;15000;500000
random_uniform_dist_test_large;3351;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;13787;4000;30000;1000000
random_with_hole_test_large;7511;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;4187;4000;30000;1000000
random_uniform_dist_test_small;221;400;3000;100000
random_low_coverage_on_both_sides_test_small;852;400;3000;100000
random_with_hole_test_small;432;400;3000;100000
random_zero_coverage_on_both_sides_test_small;371;400;3000;100000
random_uniform_dist_test_medium;1432;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;1434;2000;15000;500000
random_with_hole_test_medium;2271;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;2016;2000;15000;500000
random_uniform_dist_test_large;3779;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;8872;4000;30000;1000000
random_with_hole_test_large;9366;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;3765;4000;30000;1000000
