name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;339;400;3000;100000
random_low_coverage_on_both_sides_test_small;333;400;3000;100000
random_with_hole_test_small;348;400;3000;100000
random_zero_coverage_on_both_sides_test_small;296;400;3000;100000
random_uniform_dist_test_medium;4405;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;5815;2000;15000;500000
random_with_hole_test_medium;4338;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4269;2000;15000;500000
random_uniform_dist_test_large;30767;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;20414;4000;30000;1000000
random_with_hole_test_large;16379;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;13513;4000;30000;1000000
random_uniform_dist_test_small;338;400;3000;100000
random_low_coverage_on_both_sides_test_small;325;400;3000;100000
random_with_hole_test_small;358;400;3000;100000
random_zero_coverage_on_both_sides_test_small;297;400;3000;100000
random_uniform_dist_test_medium;4491;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;6091;2000;15000;500000
random_with_hole_test_medium;4323;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4327;2000;15000;500000
random_uniform_dist_test_large;30866;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;20878;4000;30000;1000000
random_with_hole_test_large;17288;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;14011;4000;30000;1000000
random_uniform_dist_test_small;438;400;3000;100000
random_low_coverage_on_both_sides_test_small;414;400;3000;100000
random_with_hole_test_small;459;400;3000;100000
random_zero_coverage_on_both_sides_test_small;380;400;3000;100000
random_uniform_dist_test_medium;5363;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;6839;2000;15000;500000
random_with_hole_test_medium;4968;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;4874;2000;15000;500000
random_uniform_dist_test_large;32651;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;21895;4000;30000;1000000
random_with_hole_test_large;17407;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;14438;4000;30000;1000000
