name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;745;400;3000;100000
random_low_coverage_on_both_sides_test_small;672;400;3000;100000
random_with_hole_test_small;879;400;3000;100000
random_zero_coverage_on_both_sides_test_small;659;400;3000;100000
random_uniform_dist_test_medium;13846;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;23881;2000;15000;500000
random_with_hole_test_medium;11567;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;19789;2000;15000;500000
random_uniform_dist_test_large;36664;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;41826;4000;30000;1000000
random_with_hole_test_large;28696;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;91519;4000;30000;1000000
random_uniform_dist_test_small;794;400;3000;100000
random_low_coverage_on_both_sides_test_small;713;400;3000;100000
random_with_hole_test_small;932;400;3000;100000
random_zero_coverage_on_both_sides_test_small;703;400;3000;100000
random_uniform_dist_test_medium;14158;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;24412;2000;15000;500000
random_with_hole_test_medium;11803;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;22336;2000;15000;500000
random_uniform_dist_test_large;37728;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;42850;4000;30000;1000000
random_with_hole_test_large;29519;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;94161;4000;30000;1000000
random_uniform_dist_test_small;826;400;3000;100000
random_low_coverage_on_both_sides_test_small;750;400;3000;100000
random_with_hole_test_small;971;400;3000;100000
random_zero_coverage_on_both_sides_test_small;752;400;3000;100000
random_uniform_dist_test_medium;14584;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;25280;2000;15000;500000
random_with_hole_test_medium;12162;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;21034;2000;15000;500000
random_uniform_dist_test_large;38231;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;42797;4000;30000;1000000
random_with_hole_test_large;30021;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;95166;4000;30000;1000000
