name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;51;400;3000;100000
random_low_coverage_on_both_sides_test_small;55;400;3000;100000
random_with_hole_test_small;50;400;3000;100000
random_zero_coverage_on_both_sides_test_small;52;400;3000;100000
random_uniform_dist_test_medium;297;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;339;2000;15000;500000
random_with_hole_test_medium;276;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;304;2000;15000;500000
random_uniform_dist_test_large;739;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;833;4000;30000;1000000
random_with_hole_test_large;736;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;705;4000;30000;1000000
random_uniform_dist_test_small;59;400;3000;100000
random_low_coverage_on_both_sides_test_small;65;400;3000;100000
random_with_hole_test_small;61;400;3000;100000
random_zero_coverage_on_both_sides_test_small;66;400;3000;100000
random_uniform_dist_test_medium;337;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;378;2000;15000;500000
random_with_hole_test_medium;313;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;342;2000;15000;500000
random_uniform_dist_test_large;812;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;902;4000;30000;1000000
random_with_hole_test_large;806;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;767;4000;30000;1000000
random_uniform_dist_test_small;60;400;3000;100000
random_low_coverage_on_both_sides_test_small;63;400;3000;100000
random_with_hole_test_small;60;400;3000;100000
random_zero_coverage_on_both_sides_test_small;61;400;3000;100000
random_uniform_dist_test_medium;338;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;382;2000;15000;500000
random_with_hole_test_medium;314;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;333;2000;15000;500000
random_uniform_dist_test_large;813;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;903;4000;30000;1000000
random_with_hole_test_large;822;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;778;4000;30000;1000000
