name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;1126;400;3000;100000
random_low_coverage_on_both_sides_test_small;609;400;3000;100000
random_with_hole_test_small;401;400;3000;100000
random_zero_coverage_on_both_sides_test_small;385;400;3000;100000
random_uniform_dist_test_medium;2823;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;3067;2000;15000;500000
random_with_hole_test_medium;5433;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;2191;2000;15000;500000
random_uniform_dist_test_large;8669;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;18209;4000;30000;1000000
random_with_hole_test_large;13154;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;5273;4000;30000;1000000
random_uniform_dist_test_small;1117;400;3000;100000
random_low_coverage_on_both_sides_test_small;652;400;3000;100000
random_with_hole_test_small;457;400;3000;100000
random_zero_coverage_on_both_sides_test_small;450;400;3000;100000
random_uniform_dist_test_medium;2966;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;4230;2000;15000;500000
random_with_hole_test_medium;4997;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;2095;2000;15000;500000
random_uniform_dist_test_large;7931;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;25696;4000;30000;1000000
random_with_hole_test_large;12729;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;8173;4000;30000;1000000
random_uniform_dist_test_small;1089;400;3000;100000
random_low_coverage_on_both_sides_test_small;643;400;3000;100000
random_with_hole_test_small;421;400;3000;100000
random_zero_coverage_on_both_sides_test_small;357;400;3000;100000
random_uniform_dist_test_medium;2708;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;3271;2000;15000;500000
random_with_hole_test_medium;5015;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;2284;2000;15000;500000
random_uniform_dist_test_large;8033;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;18357;4000;30000;1000000
random_with_hole_test_large;13903;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;7687;4000;30000;1000000
